hrt_value,t_value
70992.0,1105.635791
71035.0,1105.675921
71071.0,1105.716069
71118.0,1105.756201
71124.0,1105.796347
71030.0,1105.836819
70910.0,1105.876974
70830.0,1105.917117
70801.0,1105.957259
70825.0,1105.997386
70852.0,1106.037521
70896.0,1106.077654
70939.0,1106.117809
70954.0,1106.157928
70938.0,1106.198047
70948.0,1106.238181
70973.0,1106.278336
71012.0,1106.318488
71067.0,1106.358628
71107.0,1106.39878
71158.0,1106.438908
71194.0,1106.479058
71226.0,1106.51919
71242.0,1106.559348
71255.0,1106.599491
71281.0,1106.639628
71306.0,1106.67978
71344.0,1106.719889
71382.0,1106.760008
71395.0,1106.800165
71291.0,1106.840293
71159.0,1106.880412
71089.0,1106.920913
71072.0,1106.961024
71086.0,1107.001159
71122.0,1107.041262
71179.0,1107.081397
71222.0,1107.121531
71240.0,1107.161661
71243.0,1107.201798
71253.0,1107.241932
71288.0,1107.282066
71339.0,1107.322208
71392.0,1107.362345
71440.0,1107.40249
71493.0,1107.442611
71542.0,1107.482769
71576.0,1107.522892
71611.0,1107.563023
71645.0,1107.603168
71680.0,1107.643331
71714.0,1107.683668
71735.0,1107.723809
71687.0,1107.763951
71485.0,1107.804086
71334.0,1107.84424
71275.0,1107.884379
71260.0,1107.924519
71271.0,1107.96466
71304.0,1108.004799
71338.0,1108.044934
71340.0,1108.085086
71315.0,1108.12523
71293.0,1108.165354
71302.0,1108.205491
71313.0,1108.245629
71343.0,1108.285777
71378.0,1108.325894
71412.0,1108.366009
71440.0,1108.406142
71467.0,1108.446637
71483.0,1108.486776
71499.0,1108.526889
71531.0,1108.567023
71557.0,1108.607165
71577.0,1108.647287
71526.0,1108.687413
71384.0,1108.727557
71305.0,1108.767708
71286.0,1108.80782
71314.0,1108.84797
71362.0,1108.888118
71404.0,1108.92825
71451.0,1108.968397
71437.0,1109.00853
71420.0,1109.048681
71414.0,1109.088809
71435.0,1109.128951
71471.0,1109.169086
71516.0,1109.20924
71556.0,1109.249378
71594.0,1109.289521
71636.0,1109.329646
71660.0,1109.369791
71694.0,1109.410271
71719.0,1109.450402
71745.0,1109.49053
71774.0,1109.530681
71798.0,1109.570818
71792.0,1109.610951
71643.0,1109.651084
71503.0,1109.691211
71453.0,1109.731347
71461.0,1109.771475
71484.0,1109.811609
71530.0,1109.851737
71577.0,1109.891879
71586.0,1109.932007
71563.0,1109.972168
71530.0,1110.012332
71506.0,1110.052476
71452.0,1110.092607
71403.0,1110.13275
71368.0,1110.172891
71335.0,1110.213009
71319.0,1110.253169
71302.0,1110.293296
71289.0,1110.333446
71276.0,1110.373598
71264.0,1110.413738
71251.0,1110.453887
71257.0,1110.494023
71268.0,1110.534165
71303.0,1110.574296
71365.0,1110.614797
71338.0,1110.65494
71269.0,1110.695084
71285.0,1110.735229
71344.0,1110.775377
71415.0,1110.815508
71499.0,1110.855637
71580.0,1110.89579
71640.0,1110.935911
71668.0,1110.976041
71690.0,1111.016179
71734.0,1111.05633
71758.0,1111.096445
71765.0,1111.13654
71783.0,1111.176669
71781.0,1111.216808
71783.0,1111.256947
71778.0,1111.297099
71775.0,1111.337248
71760.0,1111.377395
71741.0,1111.417529
71739.0,1111.45764
71734.0,1111.497789
71735.0,1111.537911
71737.0,1111.57803
71691.0,1111.618184
71569.0,1111.658343
71422.0,1111.698488
71311.0,1111.738628
71249.0,1111.779141
71232.0,1111.819273
71236.0,1111.859397
71251.0,1111.899529
71239.0,1111.939659
71199.0,1111.979808
71167.0,1112.01995
71159.0,1112.060099
71167.0,1112.100242
71179.0,1112.140385
71216.0,1112.180519
71236.0,1112.220669
71258.0,1112.260797
71280.0,1112.300933
71312.0,1112.341046
71335.0,1112.381194
71365.0,1112.421346
71401.0,1112.461489
71425.0,1112.501627
71437.0,1112.541775
71365.0,1112.581907
71236.0,1112.622046
71111.0,1112.662189
71047.0,1112.702346
71031.0,1112.742489
71039.0,1112.782629
71070.0,1112.822774
71096.0,1112.862908
71097.0,1112.903032
71084.0,1112.943185
71080.0,1112.983335
71099.0,1113.023474
71131.0,1113.063609
71160.0,1113.10377
71197.0,1113.143889
71242.0,1113.184023
71284.0,1113.224169
71319.0,1113.264672
71360.0,1113.304809
71388.0,1113.344949
71429.0,1113.385082
71473.0,1113.42523
71527.0,1113.465377
71580.0,1113.50552
71597.0,1113.54567
71499.0,1113.585787
71385.0,1113.625913
71302.0,1113.665878
71271.0,1113.706008
71279.0,1113.746147
71315.0,1113.786275
71353.0,1113.826414
71379.0,1113.866928
71382.0,1113.90706
71356.0,1113.9472
71382.0,1113.987343
71419.0,1114.027474
71454.0,1114.067613
71451.0,1114.107775
71471.0,1114.147904
71458.0,1114.188042
71462.0,1114.228165
71461.0,1114.268292
71446.0,1114.308413
71379.0,1114.348559
71345.0,1114.388699
71345.0,1114.428818
71325.0,1114.468974
71233.0,1114.509117
71066.0,1114.549254
70898.0,1114.589385
70811.0,1114.629532
70792.0,1114.66968
70817.0,1114.709817
70878.0,1114.749973
70931.0,1114.790116
70962.0,1114.830258
70992.0,1114.870392
70996.0,1114.91053
71021.0,1114.950636
71049.0,1114.991141
71081.0,1115.031269
71123.0,1115.071412
71185.0,1115.111545
71265.0,1115.151695
71318.0,1115.191817
71356.0,1115.231973
71387.0,1115.272116
71408.0,1115.312259
71418.0,1115.352396
71402.0,1115.392529
71316.0,1115.432659
71183.0,1115.472808
71075.0,1115.51294
71011.0,1115.553078
71003.0,1115.593211
71016.0,1115.633353
71032.0,1115.67349
71043.0,1115.713629
71030.0,1115.753775
71028.0,1115.793913
71044.0,1115.834047
71070.0,1115.874181
71116.0,1115.914344
71168.0,1115.954473
71221.0,1115.99462
71265.0,1116.03477
71307.0,1116.074889
71349.0,1116.115022
71391.0,1116.155168
71427.0,1116.195292
71469.0,1116.235444
71491.0,1116.275927
71427.0,1116.316077
71309.0,1116.3562
71218.0,1116.39636
71187.0,1116.436493
71204.0,1116.476636
71239.0,1116.51679
